주체,내용
서울특별시,"서울시, 실시간 교통신호정보 등 C-ITS 데이터, ''서울교통 빅데이터 포털'' 통해 제공
 - ‘22.10.05(수), 서울 C-ITS C-ITS(Cooperative Intelligent Transport Systems) : 차세대 지능형 교통체계
의 실시간 도로위험, 신호, 차량상태 등 정보를  ‘공공데이터’와 ‘서울교통 빅데이터’ 포털을 통해 국내 최초 오픈API API(Application Programming Interface) : 소프트웨어,애플리케이션을개발하는프로그래머를위한 프로그램인터페이스
로 제공
 - 특히 도심 주요 교차로(788개소)의 교통신호 및 잔여시간 정보도 제공
   → ‘24년까지 4차로 이상 모든 교차로(3,660개소) 정보로 확대 예정
 - 서울C-ITS와 교통빅데이터의 융·복합분석을 통해 새로운 교통정보 제공 가능"
서울특별시,"서울시, BBC와 세계적 교통 시스템 알린다…""과학기술 기반 첨단 대중교통 주목
 - 서울시, 국제 교통 홍보 영상 공개…대중교통 중심 “스마트 교통도시 서울” 매력 담아
 - 세계 교통 선진 도시 주목…코로나19에도 수요 분석?기술 기반으로 시스템 발전 도약 
 - 교통카드?이동?통신 빅데이터 활용해 노선 개발, 혼잡도 개선…첨단기술 더해 시민 이동편의↑
 - BBC 스토리워크 누리집서 특별 게시물 개설…UITP 누리집, 서울시 유튜브에도 공개"
서울특별시,"'빅데이터 기반 소상공인 매출증대 프로젝트'' 서울시-KT 업무협약
 - 10.25(화) 민간 빅데이터 플랫폼을 보유한 ''KT''와 빅데이터 공동업무 협약 체결
 - 전문교육을 수료한 MZ세대팀과 소상공인 1:1 매칭을 통한 매출 증대 경영컨설팅 실시
 - 빅데이터 플랫폼과 MZ세대의 아이디어를 접목하여 빅데이터의 대시민 활용가치 확산"
서울특별시,"서울시 도시문제, 청년들이 빅데이터로 해결한다…공공데이터 활용 데이터 경진대회 시상식 개최
 - 26일(수) 오후2시 서울스마트시티센터에서「도시문제 해결 경진대회」시상식 개최
 - ‘서울 시민생활 데이터’ 활용·교육 후 전문가 멘토링 받아 분석, 정책제안 등 최종결과물
 - 교통, 교육, 환경 등 다양한 주제로 유형화, 입지, 정책효과 분석 및 예측, 개선안 제시
 - 서울시장상 5점, 서울디지털재단 이사장상 4점, 총 상금 500만원 규모로 시상"
서울특별시,"서울시설공단, 전용도로 교통정체 상황 미리 분석 제공
- 빅데이터 활용한 ‘교통정체 예보서비스’ 22일부터…노선별 혼잡시간대 예보 등
- 올림픽대로, 강변북로 등 8개 전용도로와 12개 주요간선도로 차량 소통 예측
- 한국영 이사장 “축적된 빅데이터로 서비스 개발, 편하고 안전한 이용위해 최선”"
서울특별시,"서울디지털재단, 데이터기반 도시문제 해결 지식공유… 국제포럼 개최
- 28~29일 서울시와 4개 산하기관 공동「2022 서울 빅데이터 포럼」개최
- ‘빅데이터와 인공지능(AI)으로 그리는 동행·매력 서울’ 주제로 도시 문제 해결방안 모색
- 서울 시민의 삶의 만족도를 높이기 위한 데이터 기반 도시정책 논의
- 빅데이터기반 스마트도시 실현을 위한 서울시-4개기관 간 업무협약 체결"
서울특별시,"2022 서울시 빅데이터캠퍼스 컨퍼런스 개최
 - 2022.11.25.(금) 상암동 에스플렉스센터에서 빅데이터캠퍼스 컨퍼런스 개최
 - ‘빅데이터캠퍼스 공모전’ 본선 참가 12팀 발표와 시상 실시
 - 빅데이터분야 전문가 초청하여 다양한 경험 및 사례공유를 위한 특별강연 진행
 - 서울창조경제혁신센터와 협업하여 수상자를 대상으로 창업지원 추진"
서울특별시,"핀테크, 자율차, 인공지능(AI)?로봇 등 전문 연구진 + 현장 목소리 한 곳에!
서울기술연구원, 신산업 성장 위한 현장밀착형 정책제안 토론의 장 열어
 - 6일 서울시청 8층 개최
 - 서울기술연구원 소속, 인공지능(AI)? 빅데이터 분야 내부 연구진이 제안한 신산업 연구결과 공개 예정
 - 정부지원~판로개척~제도개선 등 신산업 성장 저해 요인 분석 총망라한 경과발표 기반 토론"
서울특별시,"서울시 디지털 전환 이끄는 디지털리스트 한 자리에 모였다… 디지털리스트 리뷰 2022 개최

- 13일(화), 서울디지털재단 성과 공유를 위한 ‘디지털리스트 리뷰 2022’ 개최
- 2022년 올 한해 스마트도시 서울 구현에 앞장선 기업?일반 시민 등150여 명 참석
- ①인공지능(AI)?빅데이터 ②메타버스 ③디지털포용 ④글로벌 키워드로 발표
- 우수 성과를 달성한 디지털리스트(기업/강사/공모전 수상자) 시상 함께 진행"
서울특별시,"서울디지털재단, ''2022 대한민국 데이터 대상'' 과기부장관 표창 수상 쾌거
- 국내 데이터 산업발전에 뛰어난 성과 및 업적을 이룬 기관으로 서울디지털재단 선정
- 부문 표창 …데이터 기술, 서비스를 통해 사회발전 및 공익증진 공헌 인정
- 지능형 공공서비스, 시정 빅데이터 분석, 데이터 교육 등 성과 전반 높이 평가
- ’23년에도 디지털 동행 및 디지털 역량강화로 스마트도시 서울 구현에 박차"
서울특별시,"서울시, 드론 활성화를 위한 3차원 드론 모니터링체계 구축
 - 서울시-(주)클로버스튜디오, S-MAP 기반 드론 서비스모델 개발 등 업무협약
 - 드론 자율 비행을 위한 전파지도 시범 구축, 자율 비행 시스템 개발 등 시범사업 추진
 - 드론 공간정보의 최신성 확보, 인프라 구축 등을 통해 신산업 활성화 기여"
과학기술정보통신부,"과학기술정보통신부(장관 이종호, 이하 ‘과기정통부’)와 한국인터넷진흥원(원장 이원태, 이하 KISA)은 사이버보안 분야 인공지능·빅데이터 활용 대국민 관심도 제고를 위해 개최한 ‘사이버보안 인공지능·빅데이터 공모전 2022’ 시상식과 우수성과 공유회를 2022.12.1.(목) 개최(장소 : 잠실 롯데타워SKY31 오디토리움) 하였다.

 

  올해 행사는 지난 9월 5일(월) 부터 27일(화)까지 참가 신청을 받았으며, ?악성코드, ?침해사고를 주제로 기술경연 2개 분야, ?인공지능 활용 아이디어 공모 1개 분야 등 총 3개 분야에 정보보호 산업계, 학계, 연구기관 등 모두 85개 팀, 222명이 참가 신청서를 접수하였다. (※ ‘21년 80개 팀, 204명 신청)

 

  이들 참가 신청 팀은 온라인 예선(10.21)을 통해 ?악성코드 분야 7개 팀, ?침해사고 분야 7개 팀, ?아이디어 공모 분야 7개 팀 등 총 21개 팀이 본선진출 하였으며, 본선 진출 팀 대상으로 실시된 기술경연(11월17일), 발표평가(11월18일)에서 우수 평가를 받은 9개 팀이 최종 수상자로 결정되었다."
국토교통부,"국토교통부(장관 원희룡)는 10월 18일 종로구민회관에서 “2022년 대한민국 도시대상”시상식을 개최하였다.

시상식은 지난해 대통령상 수상도시인 서울 종로구에서 도시의 날 기념행사*와 연계하여 열렸으며, 국토교통부 제1차관(이원재)을 비롯하여 경남 진주시장(대통령상), 경기 부천시장(총리상) 등 수상도시 단체장 등 관계자들이 참석하였다.

* 친환경적 지속가능한 도시 만들기에 대한 시민의 관심과 사회적 공감대 형성을 위해 수원 화성이 완공된 10월 10일을 ‘도시의 날’로 지정하여 `07년부터 도시의 날 운영위원회(대한국토도시계획 학회) 주관으로 매년 개최


대한민국 도시대상은 ?국토의 계획 및 이용에 관한 법률?제3조의2에서 규정한 ?도시의 지속가능성 및 생활인프라 수준 평가*?결과 우수한 성적을 거둔 지자체에 대해 매년 수여해왔다.

* 도시의 지속가능하고 균형있는 발전, 주민의 편리하고 쾌적한 삶을 위해 토지이용효율성, 생활공간안전성·쾌적성·편의성 등과 생활인프라의 적정성·용이성·접근성·편리성 등을 평가


올해 도시대상은 포용사회, 삶의 질 향상, 깨끗한 환경 등을 추구하는 국가 지속가능발전목표(K-SDGs)*가 반영된 평가지표를 기준으로 대통령상, 국무총리상, 국토교통부 장관상 등 수상도시 14곳이 선정되었다.

* 국제적 합의이행과 국가 지속가능발전을 촉진(포용사회, 삶의 질 향상, 깨끗한 환경, 국제평화와 협력 강화)하기 위한 목표(17개 목표에 ‘지속가능한 도시와 주거지’ 포함)


대통령상을 수상한 경남 진주시는 사회분야 1위, 경제분야 2위, 환경분야 2위, 지원체계 분야 1위 등 전 분야에서 고르게 높은 점수를 받아 종합 1위를 차지하였다.

진주시는 지역의 특화산업인 항공우주산업에 대해 회전익 비행센터 건립(420억원), 항공우주 공립 전문과학관(350억원), 경남 항공 국가산업단지 조성(2,198억원) 및 초소형위성 개발지원 등 산업육성정책이 돋보였으며, 지역 내 5개 지구에 도시재생 사업을 추진하여 국·도비 732억원을 지원하는 등 원도심 활성화 정책을 적극 추진하였다.

또한, 무장애 도시 구현을 위해 무장애(Barrier Free) 인증제도 운영, 무장애 기반시설 및 편의시설 확충 등 장애인 지원정책을 활발히 추진하였고, 남강변 다목적문화센터, 수상레포츠센터 조성 및 남강 순환 자전거 도로망(총 217㎞) 연결, 자전거교실 운영 등 각종 문화·체육활동 지원을 통한 시민의 삶의 질 향상을 위한 노력이 우수하였다.

국무총리상을 수상한 경기 부천시는 사회분야 5위, 경제분야 1위, 환경분야 1위, 지원체계 분야 3위 등 여러 분야에서 높은 점수를 받아 종합 2위를 차지하였다.

부천시는 여성안심 귀갓길 조성, 빛을 통한 주변 보행환경 개선 등 범죄예방 정책이 우수하였고, 4차산업 핵심산업이 로봇산업 고도화, 특화산업 R&D기관 지원 등 미래 신산업 육성 및 지역 제조기업 판로지원 정책이 우수한 평가를 받았다.

또한, 생태하천 사업을 통해 친수공간을 조성하는 한편, 미세먼지 저감 등이 가능하도록 하는 등 개발과 보전을 함께 할 수 있도록 하는 저영향 개발(Low Impact Development) 정책도 돋보였다.

국토교통부 장관상은 도시정책 분야와 우수 정책사례에 대해 시상하였는데, 도시사회 분야는 범죄취약지역 골목길 정비, 어린이 보행환경 개선 등 안전한 도시환경 조성 노력이 우수한 부산 수영구와 안전도시 조례, 안심귀갓길 조성 조례 등 다양한 범죄예방 조례를 운영한 전남 목포시가 수상하였다.

도시경제 분야는 폐쇄된 마권발매소를 글로벌 혁신창업 성장 허브로 조성하고 평촌 친환경산업단지 조성 등 지역경제 활성화 노력이 우수한 대전 서구와 시장 직속 일자리 상황실 운영, 좋은 일자리 1만개 창출 등을 추진한 경북 경주시가 수상하였다.

도시환경 분야는 시흥 스마트허브 생태하천 복원사업, 시민참여형 햇빛 발전소 건립 등 신재생에너지 성과가 우수한 경기 시흥시와 생활민원처리 기동반 운영과 수요응답형 행복콜버스 운영 등이 돋보인 전북 완주군이 수상하였다.

지원체계 분야는 주민참여예산위원회 등을 운영한 부산 해운대구와 난개발 방지를 위해 성장관리계획을 수립한 경기 파주시가 수상하였다.

도시재생정책 분야에서는 소상공인 창업자 발굴, 판로구축, 예술도시 재생 등을 추진한 광주 북구와 아트와 문화체험을 함께 하는 도시재생 커뮤니티 공간(지현문화플랫폼) 조성의 성과를 보인 충북 충주시가 수상하였다.

기후변화 분야는 전국 최초로 지자체 단위의 탄소중립을 명문화한 ‘기후변화 대응 조례’를 제정하고 ’21 탄소정보공개프로젝트(CDP)평가에서 최고등급(A) 획득하는 성과를 보인 서울 도봉구가 수상하고, 첨단도시 분야는 스마트횡단보도와 스마트쉼터 등 스마트 인프라 구축과 빅데이터를 활용한 정책 결정이 돋보인 서울 성동구가 수상하였다.

※ 수상 도시별 주요실적 등 자세한 사항은 첨부자료 참조


이원재 국토교통부 제1차관은 시상식에서 “최근 기후변화, 인구감소, 도시 간 격차 심화 등 도시의 지속가능성을 위협받고 있는 상황에서도 도시 발전을 위한 각 지자체의 노력에 감사드린다”면서, “정부도 도시 혁신을 가로막는 규제를 개혁하고, 스마트시티 확산, 재해 대응력 강화, 탄소중립도시 구현 등 도시의 지속가능성을 높이기 위한 노력에 힘을 보태겠다”라고 밝혔다."
