title,count
disaster,19775
system,12356
use,10848
safety,10370
data,8969
base,7628
area,6998
model,6724
risk,6658
spatial,6389
information,6229
management,6160
development,5737
study,5606
paper,5491
method,5316
result,5146
analysis,5128
flood,4997
network,4745
emergency,4740
time,4605
monitoring,4140
nature,3871
mine,3801
communication,3785
high,3710
design,3690
water,3667
provide,3623
technology,3607
process,3532
assess,3505
effect,3486
research,3452
propos,3305
urban,3261
earthquak,3228
applic,3179
build,3154
oper,3104
fire,3087
hazard,3073
chang,3035
plan,3024
imag,2964
damag,2931
also,2911
structur,2906
map,2855
differ,2809
citi,2808
respons,2798
prevent,2738
evalu,2716
control,2643
import,2614
event,2608
present,2594
caus,2570
detect,2535
region,2500
environ,2500
measur,2494
factor,2469
simul,2398
public,2388
approach,2368
coal,2366
sensor,2354
distribut,2350
one,2316
level,2314
improv,2284
accid,2267
includ,2214
landslid,2207
perform,2203
servic,2202
show,2200
increas,2156
case,2150
integr,2135
construct,2113
support,2089
new,2069
sens,2061
requir,2054
gi,2044
gener,2012
problem,2000
remot,1999
evacu,1986
need,1954
land,1935
work,1926
human,1921
impact,1920
condit,1914
locat,1913
secur,1906
ga,1889
larg,1884
make,1876
well,1819
infrastructur,1766
vulner,1747
2,1738
sever,1736
decis,1726
analyz,1715
predict,1675
real,1668
situat,1654
order,1654
satellit,1645
engin,1636
power,1635
1,1625
relat,1600
due,1597
two,1596
china,1595
year,1595
activ,1587
characterist,1580
product,1575
loss,1561
resolut,1559
resourc,1544
effici,1538
social,1538
environment,1534
tempor,1528
dynam,1524
scale,1511
occur,1510
potenti,1503
implement,1490
mani,1486
field,1476
geolog,1460
space,1454
howev,1453
mobil,1443
multi,1435
river,1434
peopl,1430
reduc,1424
project,1424
consid,1423
algorithm,1417
industri,1411
object,1409
techniqu,1381
appli,1373
local,1370
may,1365
affect,1363
function,1339
observ,1328
protect,1319
user,1316
test,1311
number,1311
critic,1311
first,1305
rescu,1304
econom,1289
identifi,1278
index,1274
mitig,1264
seismic,1255
failur,1254
major,1254
type,1247
estim,1241
warn,1224
framework,1220
discuss,1220
scenario,1218
combin,1216
current,1213
variou,1212
three,1211
drought,1201
investig,1189
ground,1181
low,1179
valu,1174
issu,1166
geograph,1156
becom,1153
climat,1153
recent,1148
transport,1146
indic,1146
sourc,1144
health,1143
surfac,1143
exist,1141
resili,1137
optim,1135
flow,1134
mechan,1132
robot,1131
featur,1127
therefor,1124
life,1123
point,1121
signific,1118
popul,1115
possibl,1113
rainfal,1112
platform,1107
obtain,1106
3,1099
complex,1097
wireless,1096
experi,1090
slope,1090
part,1089
cost,1084
establish,1081
compar,1080
state,1065
term,1065
main,1064
aim,1056
nation,1045
road,1040
could,1040
reliabl,1030
comput,1028
calcul,1027
standard,1021
collect,1019
devic,1007
specif,1007
challeng,1005
extract,1004
select,1004
determin,1002
limit,999
util,995
capabl,987
e,978
set,978
futur,976
earli,971
tool,969
take,967
energi,967
nuclear,967
govern,965
practic,963
site,963
help,954
uav,953
qualiti,953
rout,951
3d,951
paramet,949
sustain,948
traffic,946
avail,945
vehicl,941
learn,930
countri,927
addit,917
post,915
visual,911
solut,910
tunnel,906
properti,905
influenc,905
extrem,902
smart,897
train,896
materi,895
dam,892
within,891
strategi,887
author,885
global,885
accord,880
exampl,877
rock,874
world,869
long,869
station,869
describ,868
plant,863
wide,861
safe,856
live,856
conduct,855
c,852
accuraci,851
concept,851
soil,849
made,846
carri,844
program,842
introduc,837
achiev,836
key,836
knowledg,835
reduct,830
like,825
access,825
understand,824
forecast,823
theori,822
mean,818
final,812
zone,810
databas,803
facil,798
bridg,796
etc,793
danger,791
cover,783
follow,783
equip,778
basi,777
direct,776
organ,772
especi,768
role,764
posit,757
underground,754
recoveri,753
pipelin,752
demonstr,746
sar,745
way,742
suppli,742
aerial,741
coastal,740
period,738
great,735
ensur,735
physic,733
enhanc,732
survey,732
temperatur,729
occurr,727
architectur,727
rang,726
pattern,721
advanc,717
explor,717
sea,717
comprehens,717
earth,713
softwar,713
continu,711
thu,710
0,710
form,707
lead,703
frequenc,703
provinc,701
incid,701
small,700
oil,698
accur,698
necessari,698
tsunami,697
rapid,695
compon,694
share,694
purpos,692
explos,691
relief,690
report,690
degre,689
allow,689
find,688
creat,686
review,683
unit,679
rate,678
capac,677
awar,675
node,673
among,672
digit,669
intern,669
line,668
enabl,668
multipl,666
non,664
better,660
signal,660
ecolog,659
collaps,658
concern,655
weather,655
stabil,654
sinc,653
adapt,652
refer,650
intellig,650
numer,650
agricultur,649
connect,649
behavior,647
probabl,647
mountain,644
basin,644
classif,643
pressur,641
respond,640
5,638
analys,638
seriou,631
technic,631
forest,630
crisi,630
task,628
polici,624
even,623
reason,621
interact,619
aspect,617
threat,616
4,615
methodolog,614
address,613
g,613
consist,613
initi,612
contribut,608
media,607
focus,601
context,601
wind,600
center,599
cloud,599
regul,598
stress,598
load,597
detail,594
face,588
place,586
frequent,583
web,582
produc,581
consequ,580
basic,578
day,577
univers,574
group,573
band,573
intens,570
publish,568
associ,566
along,564
speed,564
open,563
would,563
seri,563
defin,561
deform,561
often,559
chemic,558
transmiss,554
respect,553
scienc,551
deploy,549
geo,547
cultur,544
mission,542
path,541
action,540
layer,540
involv,539
optic,537
elsevi,536
abil,535
radar,534
statist,533
japan,532
district,531
without,530
built,528
air,527
search,527
internet,524
call,521
element,521
valid,520
deep,520
toward,519
depend,515
consider,514
distanc,513
fault,511
precipit,511
tradit,510
hous,509
total,508
food,508
meteorolog,507
adopt,507
demand,505
play,505
given,504
weight,500
imageri,500
phase,499
expect,498
railway,496
found,495
avoid,494
lack,491
debri,490
wave,490
view,490
identif,489
coverag,488
relationship,488
scientif,486
automat,486
hydrolog,486
electr,483
must,483
typhoon,482
mainli,481
fuzzi,480
realiz,480
stage,479
educ,478
shelter,478
kind,477
repres,476
higher,476
success,475
attent,475
examin,474
unman,474
still,471
last,471
error,469
difficult,466
procedur,466
scheme,465
similar,465
effort,465
ice,464
bodi,464
solv,464
second,461
articl,460
forc,460
experiment,459
content,459
happen,458
pollut,457
mode,454
regard,454
suggest,453
individu,452
veget,452
common,451
grid,451
rel,451
particular,449
correl,448
2011,444
crowd,444
agent,443
benefit,443
snow,442
good,442
person,441
step,441
relev,440
cluster,440
link,439
navig,437
sensit,437
put,436
deriv,435
analyt,435
account,435
singl,435
four,433
agenc,433
quantit,433
societi,433
resid,432
focu,430
central,430
movement,430
special,429
assist,429
protocol,427
geospati,426
overal,425
dataset,425
prepared,422
video,422
contain,422
meet,420
induc,420
big,418
acquir,417
channel,417
whole,416
appropri,415
prone,415
indonesia,414
forward,412
interest,412
abl,411
sampl,410
advantag,409
densiti,409
decreas,408
around,408
trend,408
transform,408
past,408
drone,407
civil,406
prepar,406
essenti,405
reconstruct,404
suitabl,403
end,402
near,402
actual,402
highli,401
complet,401
coordin,400
lake,400
variabl,400
goal,398
amount,397
pre,397
orient,396
ltd,396
less,395
histor,395
typic,395
taken,394
light,393
size,393
minim,392
thermal,392
autonom,391
cross,389
criteria,387
heavi,382
get,382
reach,382
maximum,381
10,381
record,381
exposur,379
significantli,379
mainten,379
neural,378
deal,377
ad,377
give,376
target,375
name,375
reflect,372
depth,371
rule,370
employ,370
rise,369
domain,369
moreov,367
machin,367
short,366
growth,365
gp,365
robust,364
6,364
normal,363
uncertainti,363
spectral,362
inund,362
precis,361
principl,361
motion,359
iot,359
variat,359
acquisit,358
man,358
south,357
inspect,356
lower,355
subsid,355
concentr,354
wall,353
extens,353
modul,353
law,353
novel,352
much,352
resist,352
catastroph,351
hurrican,350
economi,350
dimension,349
input,347
wast,346
8,346
statu,345
ship,345
cooper,344
classifi,344
reservoir,343
alert,343
move,343
feasibl,343
instal,342
track,341
reveal,341
personnel,341
particularli,341
reinforc,339
institut,339
mass,338
team,338
worker,337
highway,335
storm,335
format,334
virtual,333
thing,333
treatment,333
confirm,333
rain,332
evolut,329
promot,328
spread,328
radio,323
segment,323
elev,322
strength,322
fast,322
transfer,321
storag,321
7,321
innov,321
indoor,321
across,320
offer,320
perspect,319
attack,319
injuri,319
averag,318
camera,318
busi,318
correspond,317
messag,317
tourism,316
student,314
us,313
radiat,313
extent,313
collabor,313
island,313
displac,312
concret,312
percept,312
comparison,311
interfac,309
furthermor,309
receiv,309
start,307
reactor,306
altern,306
progress,306
five,306
ocean,305
chain,305
b,304
certain,303
tail,302
stream,301
via,301
fusion,301
close,299
alo,297
east,297
suscept,297
delay,297
origin,297
surround,296
rural,295
interpret,295
expert,295
school,294
depart,294
although,294
north,293
heterogen,293
suffer,293
varieti,292
bring,292
coupl,292
section,292
surveil,291
subject,291
sector,291
releas,290
primari,290
commerci,289
lightn,288
known,288
guarante,288
shape,288
updat,286
everi,285
flight,285
casualti,285
maintain,285
threaten,284
huge,284
attribut,283
divers,282
spill,282
theoret,281
victim,281
recommend,280
convent,279
best,279
marin,279
aid,278
core,278
autom,278
strong,277
prototyp,277
trigger,276
fukushima,276
topic,276
increasingli,275
sub,275
full,274
prioriti,273
settlement,273
2015,273
verifi,273
facilit,272
taiwan,272
remain,272
alarm,271
hospit,271
grow,271
rapidli,271
illustr,270
simpl,270
quickli,269
previou,269
class,269
spatio,268
cannot,268
character,268
captur,268
come,267
aircraft,267
instrument,267
usual,267
run,267
crack,266
atmospher,266
outburst,265
compani,265
gather,265
european,265
synthet,264
hand,264
hoc,264
ecosystem,264
code,264
crucial,264
destruct,264
right,263
artifici,261
scene,261
x,261
firstli,261
2014,259
modern,259
correct,259
2010,259
vertic,258
handl,258
dimens,257
terrain,256
extend,256
linear,255
2016,255
done,255
cell,254
conserv,254
daili,254
filter,254
recognit,253
occup,252
volum,252
phenomena,251
11,251
fractur,251
shown,251
cellular,251
command,251
fact,250
dem,249
server,249
decad,248
million,248
acceler,248
vari,247
systemat,247
emiss,247
directli,246
foundat,246
divid,245
easili,244
exploit,243
question,243
conclus,243
r,242
constraint,242
militari,242
residenti,242
schedul,241
maritim,241
incorpor,239
crop,239
quick,238
save,237
vital,237
uniqu,237
semant,236
asset,236
medic,236
act,236
self,236
temporari,235
invest,235
alloc,234
opportun,234
2012,234
9,234
calibr,234
peer,233
port,232
togeth,232
heat,232
neg,232
beij,231
methan,231
fiber,231
disrupt,231
km,231
secondari,231
